1,Central,ISL/TWL
2,Admiralty,ISL/TWL
3,Tsim Sha Tsui,TWL
4,Jordan,TWL
5,Yau Ma Tei,KTL/TWL
6,Mong Kok,KTL/TWL
7,Shek Kip Mei,KTL
8,Kowloon Tong,ERL/KTL
9,Lok Fu,KTL
10,Wong Tai Sin,KTL
11,Diamond Hill,KTL
12,Choi Hung,KTL
13,Kowloon Bay,KTL
14,Ngau Tau Kok,KTL
15,Kwun Tong,KTL
16,Prince Edward,KTL/TWL
17,Sham Shui Po,TWL
18,Cheung Sha Wan,TWL
19,Lai Chi Kok,TWL
20,Mei Foo,TWL/WRL
21,Lai King,TWL
22,Kwai Fong,TWL
23,Kwai Hing,TWL
24,Tai Wo Hau,TWL
25,Tsuen Wan,TWL
26,Sheung Wan,ISL
27,Wan Chai,ISL
28,Causeway Bay,ISL
29,Tin Hau,ISL
30,Fortress Hill,ISL
31,North Point,ISL/TKL
32,Quarry Bay,ISL/TKL
33,Tai Koo,ISL
34,Sai Wan Ho,ISL
35,Shau Kei Wan,ISL
36,Heng Fa Chuen,ISL
37,Chai Wan,ISL
38,Lam Tin,KTL
39,Hong Kong,TCL/AEL
40,Kowloon,TCL/AEL
41,Olympic,TCL
42,Tsing Yi,TCL/AEL
43,Tung Chung,TCL
48,Yau Tong,KTL/TKL
49,Tiu Keng Leng,KTL/TKL
50,Tseung Kwan O,TKL
51,Hang Hau,TKL
52,Po Lam,TKL
53,Nam Cheong,TCL/WRL
54,Sunny Bay,DRL/TCL
55,Disneyland Resort,DRL
57,LOHAS Park,TKL
64,Hung Hom,ERL/WRL
65,Mong Kok East,ERL
67,Tai Wai,ERL/MOL
68,Sha Tin,ERL
69,Fo Tan,ERL
70,Racecourse,ERL
71,University,ERL
72,Tai Po Market,ERL
73,Tai Wo,ERL
74,Fanling,ERL
75,Sheung Shui,ERL
76,Lo Wu,ERL
78,Lok Ma Chau,ERL
80,East Tsim Sha Tsui,WRL
81,Sai Ying Pun,ISL
82,HKU,ISL
83,Kennedy Town,ISL
84,Ho Man Tin,KTL
85,Whampoa,KTL
86,Ocean Park,SIL
87,Wong Chuk Hang,SIL
88,Lei Tung,SIL
89,South Horizons,SIL
96,Che Kung Temple,MOL
97,Sha Tin Wai,MOL
98,City One,MOL
99,Shek Mun,MOL
100,Tai Shui Hang,MOL
101,Heng On,MOL
102,Ma On Shan,MOL
103,Wu Kai Sha,MOL
111,Austin,WRL
114,Tsuen Wan West,WRL
115,Kam Sheung Road,WRL
116,Yuen Long,WRL
117,Long Ping,WRL
118,Tin Shui Wai,WRL
119,Siu Hong,WRL
120,Tuen Mun,WRL
